capacity,eightd_has_key_dispenser,lon,electric_bike_surcharge_waiver,has_kiosk,station_type,eightd_station_services,short_name,lat,name,externalId,stationId,legacyId
11,false,-87.664843,false,true,classic,,16948,41.779374,Ashland Ave & 63rd St,a3b23785-a135-11e9-9cda-0a87ae2ba916,a3b23785-a135-11e9-9cda-0a87ae2ba916,563
11,false,-87.726491,false,true,classic,,528,41.885409,Pulaski Rd & Lake St,a3b10a40-a135-11e9-9cda-0a87ae2ba916,a3b10a40-a135-11e9-9cda-0a87ae2ba916,528
11,false,-87.654308,false,true,classic,,564,41.775393,Racine Ave & 65th St,a3b23cb8-a135-11e9-9cda-0a87ae2ba916,a3b23cb8-a135-11e9-9cda-0a87ae2ba916,564
11,false,-87.6466029882431,false,true,classic,,13162,41.85377981072743,Halsted St & 21st St,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,a3a5f5e6-a135-11e9-9cda-0a87ae2ba916,135
11,false,-87.578496,false,true,classic,,16970,41.751785,Bennett Ave & 79th St,a3b2862e-a135-11e9-9cda-0a87ae2ba916,a3b2862e-a135-11e9-9cda-0a87ae2ba916,578
11,false,-87.635876,false,true,classic,,650,41.768898,Eggleston Ave & 69th St,a3b45e26-a135-11e9-9cda-0a87ae2ba916,a3b45e26-a135-11e9-9cda-0a87ae2ba916,650
11,false,-87.664699,false,true,classic,,16940,41.803023,Ashland Ave & 50th St,a3b20e8a-a135-11e9-9cda-0a87ae2ba916,a3b20e8a-a135-11e9-9cda-0a87ae2ba916,555
11,false,-87.63547986745834,false,true,classic,,RN-,41.89102331025185,Franklin St & Illinois St,8995498f-1209-4b06-9317-01cd695b3b61,8995498f-1209-4b06-9317-01cd695b3b61,672
11,false,-87.675478,false,true,classic,,557,41.794087,Seeley Ave & Garfield Blvd,a3b218cd-a135-11e9-9cda-0a87ae2ba916,a3b218cd-a135-11e9-9cda-0a87ae2ba916,557
11,false,-87.7064961757,false,true,classic,,15682,41.86649278172,Kedzie Ave & Roosevelt Rd,a3adbedf-a135-11e9-9cda-0a87ae2ba916,a3adbedf-a135-11e9-9cda-0a87ae2ba916,435
11,false,-87.64872461557388,false,true,classic,,13053,41.88318130597391,Green St & Washington Blvd,a3a57a52-a135-11e9-9cda-0a87ae2ba916,a3a57a52-a135-11e9-9cda-0a87ae2ba916,112
11,false,-87.66454,false,true,classic,,16937,41.80887,Ashland Ave & McDowell Ave,a3b1ff34-a135-11e9-9cda-0a87ae2ba916,a3b1ff34-a135-11e9-9cda-0a87ae2ba916,552
11,false,-87.675005,false,true,classic,,517,42.015963,Clark St & Jarvis Ave,a3b0d6ec-a135-11e9-9cda-0a87ae2ba916,a3b0d6ec-a135-11e9-9cda-0a87ae2ba916,517
11,false,-87.70260751247406,false,true,classic,,KA1504000113,41.89046879243862,Sacramento Blvd & Franklin Blvd,a3aca268-a135-11e9-9cda-0a87ae2ba916,a3aca268-a135-11e9-9cda-0a87ae2ba916,375
11,false,-87.6446208145,false,true,classic,,KA1503000055,41.77938114228,Halsted St & 63rd St,a3acd5b1-a135-11e9-9cda-0a87ae2ba916,a3acd5b1-a135-11e9-9cda-0a87ae2ba916,388
11,false,-87.595751,false,true,classic,,569,41.75916,Woodlawn Ave & 75th St,a3b25656-a135-11e9-9cda-0a87ae2ba916,a3b25656-a135-11e9-9cda-0a87ae2ba916,569
11,false,-87.6968944,false,true,classic,,13258,41.9104754,California Ave & North Ave,a3a9acc5-a135-11e9-9cda-0a87ae2ba916,a3a9acc5-a135-11e9-9cda-0a87ae2ba916,276
11,false,-87.56506,false,true,classic,,582,41.744531,Phillips Ave & 83rd St,a3b29a90-a135-11e9-9cda-0a87ae2ba916,a3b29a90-a135-11e9-9cda-0a87ae2ba916,582
7,false,-87.650919,false,true,classic,,18025,41.77987,Carpenter St & 63rd St,a3b453f2-a135-11e9-9cda-0a87ae2ba916,a3b453f2-a135-11e9-9cda-0a87ae2ba916,648
11,false,-87.713949,false,true,classic,,18016,41.949923,Bernard St & Elston Ave,a3b42a3e-a135-11e9-9cda-0a87ae2ba916,a3b42a3e-a135-11e9-9cda-0a87ae2ba916,640
