eightd_has_key_dispenser,eightd_station_services,lat,short_name,has_kiosk,capacity,lon,electric_bike_surcharge_waiver,station_type,name,externalId,stationId,legacyId
false,,41.79342945658,KA1503000073,true,11,-87.6158532619,false,classic,MLK Jr Dr & 56th St,a3ad7636-a135-11e9-9cda-0a87ae2ba916,a3ad7636-a135-11e9-9cda-0a87ae2ba916,421
false,,41.787539,593,true,11,-87.644874,false,classic,Halsted St & 59th St,a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,a3b2d2b7-a135-11e9-9cda-0a87ae2ba916,593
false,,41.778881,KA1503000021,true,11,-87.586647,false,classic,Stony Island Ave & 64th St,a3a528d0-a135-11e9-9cda-0a87ae2ba916,a3a528d0-a135-11e9-9cda-0a87ae2ba916,95
false,,41.90230870122,KA1504000133,true,11,-87.627690528,false,classic,Rush St & Cedar St,a3a72012-a135-11e9-9cda-0a87ae2ba916,a3a72012-a135-11e9-9cda-0a87ae2ba916,172
false,,41.885409,528,true,11,-87.726491,false,classic,Pulaski Rd & Lake St,a3b10a40-a135-11e9-9cda-0a87ae2ba916,a3b10a40-a135-11e9-9cda-0a87ae2ba916,528
false,,41.80813391481,KA1503000051,true,11,-87.6456165545,false,classic,Halsted St & 47th Pl,a3ad42c3-a135-11e9-9cda-0a87ae2ba916,a3ad42c3-a135-11e9-9cda-0a87ae2ba916,411
false,,41.956057,13249,true,11,-87.668835,false,classic,Ashland Ave & Belle Plaine Ave,a3a88a6d-a135-11e9-9cda-0a87ae2ba916,a3a88a6d-a135-11e9-9cda-0a87ae2ba916,246
false,,41.750794,573,true,11,-87.624424,false,classic,State St & 79th St,a3b26acf-a135-11e9-9cda-0a87ae2ba916,a3b26acf-a135-11e9-9cda-0a87ae2ba916,573
false,,41.765286,651,true,7,-87.621748,false,classic,Michigan Ave & 71st St,61695579-2f75-4090-a071-c76079b5fb5d,61695579-2f75-4090-a071-c76079b5fb5d,674
false,,41.86649278172,15682,true,11,-87.7064961757,false,classic,Kedzie Ave & Roosevelt Rd,a3adbedf-a135-11e9-9cda-0a87ae2ba916,a3adbedf-a135-11e9-9cda-0a87ae2ba916,435
false,,41.80887,16937,true,11,-87.66454,false,classic,Ashland Ave & McDowell Ave,a3b1ff34-a135-11e9-9cda-0a87ae2ba916,a3b1ff34-a135-11e9-9cda-0a87ae2ba916,552
false,,41.88318130597391,13053,true,11,-87.64872461557388,false,classic,Green St & Washington Blvd,a3a57a52-a135-11e9-9cda-0a87ae2ba916,a3a57a52-a135-11e9-9cda-0a87ae2ba916,112
false,,41.75916,569,true,11,-87.595751,false,classic,Woodlawn Ave & 75th St,a3b25656-a135-11e9-9cda-0a87ae2ba916,a3b25656-a135-11e9-9cda-0a87ae2ba916,569
false,,41.89046879243862,KA1504000113,true,11,-87.70260751247406,false,classic,Sacramento Blvd & Franklin Blvd,a3aca268-a135-11e9-9cda-0a87ae2ba916,a3aca268-a135-11e9-9cda-0a87ae2ba916,375
false,,41.823613,16933,true,7,-87.650931,false,classic,Morgan St & Pershing Rd,a3b1eaa7-a135-11e9-9cda-0a87ae2ba916,a3b1eaa7-a135-11e9-9cda-0a87ae2ba916,548
false,,41.991178,KA1504000155,true,11,-87.683593,false,classic,2112 W Peterson Ave,a3af2216-a135-11e9-9cda-0a87ae2ba916,a3af2216-a135-11e9-9cda-0a87ae2ba916,456
false,,41.98366470886,15585,true,11,-87.6964225611,false,classic,Budlong Woods Library,a3af624c-a135-11e9-9cda-0a87ae2ba916,a3af624c-a135-11e9-9cda-0a87ae2ba916,468
false,,41.743921,588,true,11,-87.575225,false,classic,South Chicago Ave & 83rd St,a3b2b92c-a135-11e9-9cda-0a87ae2ba916,a3b2b92c-a135-11e9-9cda-0a87ae2ba916,588
false,,42.01213227742,RP-006,true,11,-87.6829126443,false,classic,Ridge Blvd & Touhy Ave,a3af5804-a135-11e9-9cda-0a87ae2ba916,a3af5804-a135-11e9-9cda-0a87ae2ba916,466
false,,41.813996,549,true,11,-87.666589,false,classic,Marshfield Ave & 44th St,a3b1efd6-a135-11e9-9cda-0a87ae2ba916,a3b1efd6-a135-11e9-9cda-0a87ae2ba916,549
false,,41.774074,16950,true,7,-87.663815,false,classic,Ashland Ave & 66th St,a3b241df-a135-11e9-9cda-0a87ae2ba916,a3b241df-a135-11e9-9cda-0a87ae2ba916,565
false,,41.7045750872071,20222,true,11,-87.52823173999786,false,classic,Burnham Greenway & 105th St,c1f104db-9ee7-4999-bd4a-ddd766c75e04,c1f104db-9ee7-4999-bd4a-ddd766c75e04,710
false,,41.886841,16903,true,11,-87.745261,false,classic,Cicero Ave & Lake St,a3b10f66-a135-11e9-9cda-0a87ae2ba916,a3b10f66-a135-11e9-9cda-0a87ae2ba916,529
false,,41.744531,582,true,11,-87.56506,false,classic,Phillips Ave & 83rd St,a3b29a90-a135-11e9-9cda-0a87ae2ba916,a3b29a90-a135-11e9-9cda-0a87ae2ba916,582
false,,42.019537,16806,true,11,-87.669563,false,classic,Bosworth Ave & Howard St,a3b0eb93-a135-11e9-9cda-0a87ae2ba916,a3b0eb93-a135-11e9-9cda-0a87ae2ba916,522
false,,41.780506,653B,true,11,-87.586853,false,classic,Stony Island Ave & 63rd St,1754781885939323186,1754781885939323186,1754781885939323186
false,,41.917805,TA1309000029,true,11,-87.682437,false,classic,Leavitt St & Armitage Ave,a3aa59bb-a135-11e9-9cda-0a87ae2ba916,a3aa59bb-a135-11e9-9cda-0a87ae2ba916,309
